project,subsystem,folder
lagom,lagom.github.io,https://github.com/lagom/lagom.github.io
lagom,lagom,https://github.com/lagom/lagom
lagom,lagom-samples,https://github.com/lagom/lagom-samples
lagom,lagom-java.g8,https://github.com/lagom/lagom-java.g8
lagom,lagom-scala.g8,https://github.com/lagom/lagom-scala.g8
lagom,lagom-scala-openshift-smoketests,https://github.com/lagom/lagom-scala-openshift-smoketests
lagom,lagom-scala-grpc-example,https://github.com/lagom/lagom-scala-grpc-example
lagom,lagom-java-grpc-example,https://github.com/lagom/lagom-java-grpc-example
lagom,lagom-java-maven-chirper-example,https://github.com/lagom/lagom-java-maven-chirper-example
lagom,lagom-java-sbt-chirper-example,https://github.com/lagom/lagom-java-sbt-chirper-example
lagom,lagom-akka-discovery-service-locator,https://github.com/lagom/lagom-akka-discovery-service-locator
lagom,lagom-recipes,https://github.com/lagom/lagom-recipes
lagom,lagom-grpc-labs,https://github.com/lagom/lagom-grpc-labs
lagom,lagom-java-chirper-example,https://github.com/lagom/lagom-java-chirper-example
lagom,lagom-gameon-example,https://github.com/lagom/lagom-gameon-example
lagom,lagom-gameon-maven-archetype,https://github.com/lagom/lagom-gameon-maven-archetype
lagom,lagom-gameon-bazaar-service,https://github.com/lagom/lagom-gameon-bazaar-service
nameko,nameko-examples,https://github.com/nameko/nameko-examples
nameko,nameko,https://github.com/nameko/nameko
nameko,nameko-grpc,https://github.com/nameko/nameko-grpc
nameko,nameko-amqp-retry,https://github.com/nameko/nameko-amqp-retry
nameko,nameko-bayeux-client,https://github.com/nameko/nameko-bayeux-client
nameko,nameko-salesforce,https://github.com/nameko/nameko-salesforce
nameko,nameko-tracer,https://github.com/nameko/nameko-tracer
nameko,nameko-sqlalchemy,https://github.com/nameko/nameko-sqlalchemy
nameko,nameko-examples-grpc,https://github.com/nameko/nameko-examples-grpc
nameko,nameko-sentry,https://github.com/nameko/nameko-sentry
nameko,nameko.io,https://github.com/nameko/nameko.io
nameko,nameko-rabbitmq,https://github.com/nameko/nameko-rabbitmq
nameko,nameko.github.io,https://github.com/nameko/nameko.github.io
nameko,sphinx-nameko-theme,https://github.com/nameko/sphinx-nameko-theme
kumuluz,kumuluzee-samples,https://github.com/kumuluz/kumuluzee-samples
kumuluz,kumuluzee-health,https://github.com/kumuluz/kumuluzee-health
kumuluz,kumuluzee-jwt-auth,https://github.com/kumuluz/kumuluzee-jwt-auth
kumuluz,kumuluzee-config,https://github.com/kumuluz/kumuluzee-config
kumuluz,kumuluzee-logs,https://github.com/kumuluz/kumuluzee-logs
kumuluz,kumuluzee-rest,https://github.com/kumuluz/kumuluzee-rest
kumuluz,kumuluzee-security,https://github.com/kumuluz/kumuluzee-security
kumuluz,kumuluzee-opentracing,https://github.com/kumuluz/kumuluzee-opentracing
kumuluz,kumuluzee,https://github.com/kumuluz/kumuluzee
kumuluz,kumuluzee-rest-client,https://github.com/kumuluz/kumuluzee-rest-client
kumuluz,kumuluzee-config-mp,https://github.com/kumuluz/kumuluzee-config-mp
kumuluz,kumuluzee-fault-tolerance,https://github.com/kumuluz/kumuluzee-fault-tolerance
kumuluz,kumuluzee-metrics,https://github.com/kumuluz/kumuluzee-metrics
kumuluz,kumuluzee-swagger,https://github.com/kumuluz/kumuluzee-swagger
kumuluz,kumuluzee-openapi,https://github.com/kumuluz/kumuluzee-openapi
kumuluz,kumuluzee-cors,https://github.com/kumuluz/kumuluzee-cors
kumuluz,kumuluzee-discovery,https://github.com/kumuluz/kumuluzee-discovery
kumuluz,kumuluzee-testing,https://github.com/kumuluz/kumuluzee-testing
kumuluz,kumuluzee-graphql,https://github.com/kumuluz/kumuluzee-graphql
jhipster,jhipster,https://github.com/jhipster/jhipster
jhipster,jhipster-core,https://github.com/jhipster/jhipster-core
jhipster,jhipster.github.io,https://github.com/jhipster/jhipster.github.io
jhipster,jhipster.github.io,https://github.com/jhipster/jhipster-vuejs
jhipster,jhipster-kotlin,https://github.com/jhipster/jhipster-kotlin
jhipster,jhipster-registry,https://github.com/jhipster/jhipster-registry
jhipster,jhipster-ide,https://github.com/jhipster/jhipster-ide
jhipster,jhipster-online,https://github.com/jhipster/jhipster-online
jhipster,jhipster-devbox,https://github.com/jhipster/jhipster-devbox
jhipster,jhipster-dotnetcore,https://github.com/jhipster/jhipster-dotnetcore
jhipster,jhipster-uml,https://github.com/jhipster/jhipster-uml
jhipster,jhipster-dependencies,https://github.com/jhipster/jhipster-dependencies
networknt,light-4j,https://github.com/networknt/light-4j
networknt,light-example-4j,https://github.com/networknt/light-example-4j
networknt,light-consumer-4j,https://github.com/networknt/light-consumer-4j
networknt,light-spa-4j,https://github.com/networknt/light-spa-4j
networknt,light-session-4j,https://github.com/networknt/light-session-4j
networknt,light-saga-4j,https://github.com/networknt/light-saga-4j
networknt,light-tram-4j,https://github.com/networknt/light-tram-4j
networknt,light-eventuate-4j,https://github.com/networknt/light-eventuate-4j
networknt,light-hybrid-4j,https://github.com/networknt/light-hybrid-4j
networknt,light-graphql-4j,https://github.com/networknt/light-graphql-4j
networknt,light-config-test,https://github.com/networknt/light-config-test
networknt,light-rest-4j,https://github.com/networknt/light-rest-4j
gora,build process,
gora,gora-documentation,
gora,gora-accumulo,https://github.com/apache/gora/tree/master/gora-accumulo
gora,gora-aerospike,https://github.com/apache/gora/tree/master/gora-aerospike
gora,gora-cassandra,https://github.com/apache/gora/tree/master/gora-cassandra
gora,gora-compiler,"https://github.com/apache/gora/tree/master/gora-compiler-cli,https://github.com/apache/gora/tree/master/gora-compiler"
gora,gora-core,https://github.com/apache/gora/tree/master/gora-core
gora,gora-dynamodb,https://github.com/apache/gora/tree/master/gora-dynamodb
gora,gora-goraci,https://github.com/apache/gora/tree/master/gora-goraci
gora,gora-hbase,https://github.com/apache/gora/tree/master/gora-hbase
gora,gora-hive,https://github.com/apache/gora/tree/master/gora-hive
gora,gora-infinispan,https://github.com/apache/gora/tree/master/gora-infinispan
gora,gora-jcache,https://github.com/apache/gora/tree/master/gora-jcache
gora,gora-kudu,https://github.com/apache/gora/tree/master/gora-kudu
gora,gora-lucene,https://github.com/apache/gora/tree/master/gora-lucene
gora,gora-mongodb,https://github.com/apache/gora/tree/master/gora-mongodb
gora,gora-pig,https://github.com/apache/gora/tree/master/gora-pig
gora,gora-solr,https://github.com/apache/gora/tree/master/gora-solr
gora,gora-sql,https://github.com/apache/gora/tree/master/gora-sql
gora,gora-tutorial,https://github.com/apache/gora/tree/master/gora-tutorial
gora,maven,https://github.com/apache/gora/tree/master/gora-maven-plugin
gora,schema,
gora,testing,
gora,gora-website,
gora,gora,
flume,flume-Build,https://github.com/apache/flume/tree/trunk/build-support
flume,Channel,https://github.com/apache/flume/tree/trunk/flume-ng-channels
flume,Client SDK,https://github.com/apache/flume/tree/trunk/flume-ng-sdk
flume,flume-Configuration,"https://github.com/apache/flume/tree/trunk/flume-ng-configfilters,https://github.com/apache/flume/tree/trunk/flume-ng-configuration,https://github.com/apache/flume/tree/trunk/conf"
flume,flume-Docs,"https://github.com/apache/flume/tree/trunk/flume-ng-doc,https://github.com/apache/flume/tree/trunk/dev-docs"
flume,Easy,
flume,File Channel,https://github.com/apache/flume/tree/trunk/flume-ng-channels
flume,Master,
flume,Node,https://github.com/apache/flume/tree/trunk/flume-ng-node
flume,Shell,
flume,Sinks+Sources,"https://github.com/apache/flume/tree/trunk/flume-ng-sinks,https://github.com/apache/flume/tree/trunk/flume-ng-sources"
flume,Technical Debt,
flume,flume-Test,"https://github.com/apache/flume/tree/trunk/flume-ng-tests,https://github.com/apache/flume/tree/trunk/flume-shared"
flume,Web,
flume,flume-Windows,
flume,flume,https://github.com/apache/flume
falcon,acquisition,https://github.com/apache/falcon/tree/master/acquisition
falcon,build-tools,https://github.com/apache/falcon/tree/master/build-tools
falcon,client,https://github.com/apache/falcon/tree/master/client
falcon,common,"https://github.com/apache/falcon/tree/master/common,https://github.com/apache/falcon/tree/master/common-types"
falcon,docs,https://github.com/apache/falcon/tree/master/docs
falcon,extensions,https://github.com/apache/falcon/tree/master/extensions
falcon,falcon-ui,https://github.com/apache/falcon/tree/master/falcon-ui
falcon,merlin,https://github.com/apache/falcon/tree/master/falcon-regression
falcon,messaging,https://github.com/apache/falcon/tree/master/messaging
falcon,falcon-metrics,https://github.com/apache/falcon/tree/master/metrics
falcon,oozie,"https://github.com/apache/falcon/tree/master/oozie,https://github.com/apache/falcon/tree/master/oozie-el-extensions"
falcon,prism,https://github.com/apache/falcon/tree/master/prism
falcon,replication,https://github.com/apache/falcon/tree/master/replication
falcon,rerun,https://github.com/apache/falcon/tree/master/rerun
falcon,retention,https://github.com/apache/falcon/tree/master/retention
falcon,scheduler,https://github.com/apache/falcon/tree/master/scheduler
falcon,falcon-tests,"https://github.com/apache/falcon/tree/master/test-tools,https://github.com/apache/falcon/tree/master/test-util,https://github.com/apache/falcon/tree/master/unit"
falcon,acquisition,"https://github.com/apache/falcon/tree/master/falcon-ui,https://github.com/apache/falcon/tree/master/html5-ui"
falcon,webapp,https://github.com/apache/falcon/tree/master/webapp
falcon,falcon,https://github.com/apache/falcon
openjpa,agile,
openjpa,build / infrastructure,
openjpa,criteria,
openjpa,datacache,"https://github.com/apache/openjpa/tree/master/openjpa-persistence,https://github.com/apache/openjpa/tree/master/openjpa-persistence-locking,https://github.com/apache/openjpa/tree/master/openjpa-persistence-locking"
openjpa,diagnostics,
openjpa,openjpa-docs,"https://github.com/apache/openjpa/tree/master/scripts,https://github.com/apache/openjpa/tree/master/openjpa-all"
openjpa,Enhance,
openjpa,openjpa-integration,https://github.com/apache/openjpa/tree/master/openjpa-integration
openjpa,openjpa-jdbc,"https://github.com/apache/openjpa/tree/master/openjpa-jdbc,https://github.com/apache/openjpa/tree/master/openjpa-persistence-jdbc"
openjpa,jpa,"https://github.com/apache/openjpa/tree/master/openjpa,https://github.com/apache/openjpa/tree/master/openjpa-project"
openjpa,kernel,https://github.com/apache/openjpa/tree/master/openjpa-kernel
openjpa,lib,https://github.com/apache/openjpa/tree/master/openjpa-lib
openjpa,openjpa-logging,
openjpa,osgi,
openjpa,performance,
openjpa,query,
openjpa,openjpa-samples,https://github.com/apache/openjpa/tree/master/openjpa-examples
openjpa,site,https://github.com/apache/openjpa/tree/master/src
openjpa,slice,https://github.com/apache/openjpa/tree/master/openjpa-slice
openjpa,openjpa-sql,
openjpa,third-party,
openjpa,tooling,https://github.com/apache/openjpa/tree/master/openjpa-tools
openjpa,UnenhancedClasses,
openjpa,usability,https://github.com/apache/openjpa/tree/master/openjpa-features
openjpa,validation,
openjpa,xml store,https://github.com/apache/openjpa/tree/master/openjpa-xmlstore
openjpa,openjpa,https://github.com/apache/openjpa
stanbol,stanbol,https://github.com/apache/stanbol
stanbol,Archetypes,https://github.com/apache/stanbol/tree/trunk/development/archetypes
stanbol,stanbol-Build,https://github.com/apache/stanbol/tree/trunk/releasing
stanbol,Bundlelists,
stanbol,CMS Adaptor,
stanbol,Commons,https://github.com/apache/stanbol/tree/trunk/commons
stanbol,Contenthub,
stanbol,Data,https://github.com/apache/stanbol/tree/trunk/data
stanbol,Enhancement Engines,https://github.com/apache/stanbol/tree/trunk/enhancement-engines
stanbol,Enhancer,https://github.com/apache/stanbol/tree/trunk/enhancer
stanbol,Entityhub,https://github.com/apache/stanbol/tree/trunk/entityhub
stanbol,Fact Store,
stanbol,Integration Test,https://github.com/apache/stanbol/tree/trunk/integration-tests
stanbol,Launcher,https://github.com/apache/stanbol/tree/trunk/launchers
stanbol,Ontology Manager,https://github.com/apache/stanbol/tree/trunk/ontologymanager
stanbol,Parent,https://github.com/apache/stanbol/tree/trunk/parent
stanbol,Reasoners,https://github.com/apache/stanbol/tree/trunk/contrib/reasoners
stanbol,Reengineer,
stanbol,Rules,https://github.com/apache/stanbol/tree/trunk/rules
stanbol,stanbol-Web,
stanbol,stanbol-Website,
tika,app,https://github.com/apache/tika/tree/master/tika-app
tika,batch,https://github.com/apache/tika/tree/master/tika-batch
tika,tika-cli,
tika,config,
tika,tika-core,https://github.com/apache/tika/tree/master/tika-core
tika,detector,https://github.com/apache/tika/tree/master/tika-langdetect
tika,tika-documentation,
tika,example,https://github.com/apache/tika/tree/master/tika-example
tika,general,
tika,gui,
tika,handler,
tika,languageidentifier,
tika,metadata,
tika,mime,
tika,ocr,
tika,tika-packaging,https://github.com/apache/tika/tree/master/tika-deployment
tika,tika-parser,https://github.com/apache/tika/tree/master/tika-parsers
tika,server,https://github.com/apache/tika/tree/master/tika-server
tika,tika-eval,https://github.com/apache/tika/tree/master/tika-eval
tika,translation,https://github.com/apache/tika/tree/master/tika-translate
tika,tika,https://github.com/apache/tika
oodt,oodt,https://github.com/apache/oodt
oodt,agility,https://github.com/apache/oodt/tree/master/agility
oodt,balance,
oodt,build proces,
oodt,cas-mvn-plugins,
oodt,catalog,
oodt,oodt-commons,https://github.com/apache/oodt/tree/master/commons
oodt,oodt-core,https://github.com/apache/oodt/tree/master/core
oodt,crawler,https://github.com/apache/oodt/tree/master/crawler
oodt,curator,https://github.com/apache/oodt/tree/master/curator
oodt,file manager,https://github.com/apache/oodt/tree/master/filemgr
oodt,metadata container,https://github.com/apache/oodt/tree/master/metadata
oodt,opendapps,https://github.com/apache/oodt/tree/master/webapp
oodt,opsui,
oodt,pcs,https://github.com/apache/oodt/tree/master/pcs
oodt,pge wrapper framework,https://github.com/apache/oodt/tree/master/pge
oodt,product server,
oodt,push pull framework,
oodt,radix,
oodt,resource manager,https://github.com/apache/oodt/tree/master/resource
oodt,workflow manager,https://github.com/apache/oodt/tree/master/workflow
oodt,xmlps,
oodt,oodt-website,
